APP,APP_ID,MAP,LAYERS,URLS
Base,97fc75ddc204d48bb9e47fdaa17a8e8b6,HRM Mode Share Base Map
,,,Number of Jobs,https://services2.arcgis.com/11XBiaBYA9Ep0yNJ/arcgis/rest/services/Centroids_for_HRM_Mode_Share_Sept_9/FeatureServer/0
,,,Dwelling Unit Density (# units / hectare),https://services2.arcgis.com/11XBiaBYA9Ep0yNJ/arcgis/rest/services/Centroids_for_HRM_Mode_Share_Sept_9/FeatureServer/0
,,,Population Density (# persons / hectare),https://services2.arcgis.com/11XBiaBYA9Ep0yNJ/arcgis/rest/services/Centroids_for_HRM_Mode_Share_Sept_9/FeatureServer/0
,,,IMP - Planned Transit Routes,https://services2.arcgis.com/11XBiaBYA9Ep0yNJ/arcgis/rest/services/IMP_Hosted_Layers/FeatureServer/3
,,,Transit Routes,https://services2.arcgis.com/11XBiaBYA9Ep0yNJ/arcgis/rest/services/BusRoutes/FeatureServer/0
,,,Integrated Mobility Plan 2022 Regional Centre Bikeway Network Map,https://services2.arcgis.com/11XBiaBYA9Ep0yNJ/arcgis/rest/services/Integrated_Mobility_Plan_2022_Regional_Centre_Bikeway_Network_Map/FeatureServer/0
,,,Bike Infrastructure and Suggested Routes,https://services2.arcgis.com/11XBiaBYA9Ep0yNJ/arcgis/rest/services/Bike_Infrastructure_and_Suggested_Routes/FeatureServer/0
,,,Mode Share by Census Tract,https://services2.arcgis.com/11XBiaBYA9Ep0yNJ/arcgis/rest/services/ModeShare_AGOL_March11/FeatureServer/1
,,,Mode Share by Consolidated Traffic Zone,https://services2.arcgis.com/11XBiaBYA9Ep0yNJ/arcgis/rest/services/ModeShare_AGOL_March11/FeatureServer/0
